案号,案由,命中罪名类别,命中关键词,犯罪人的年龄,受教育程度,案件地点,涉案金额_元,案件严重程度,审判时间,罚金金额_元
（2019）云刑终57号,走私、贩卖、运输、制造毒品,走私罪,走私,,中专,云南省,40000.0,,2019-01-25,40000.0
（2018）京0101民初14678号,买卖合同纠纷,危害税收征管罪,税,,,住所地东莞市,182410.0,,2019-01-03,
（2019）渝01刑更93号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,重庆市,20000.0,,2019-01-29,20000.0
（2018）苏0111民初7687号,保险纠纷,危害税收征管罪,税,,,住所地在杭州市,463272.0,,2019-01-17,
（2019）陕0111刑初9号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,户籍地蓬溪县,5000.0,情节严重,2019-01-08,5000.0
（2018）云01行初95号,行政征收,妨害对公司企业的管理秩序罪,欺诈,,,云南省昆明市,233639.0,严重,2019-01-10,
（2018）闽0181刑初1578号,掩饰、隐瞒犯罪所得、犯罪所得收益,金融诈骗罪|危害税收征管罪,税|诈骗,,小学,福建省福清市,300000.0,情节严重,2019-01-31,20000.0
（2018）冀0183刑初277号,诈骗,金融诈骗罪,诈骗,,,河北省,527316.0,数额较大,2019-01-08,50000.0
（2019）鄂0984刑初27号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,户籍地湖北省,5000.0,情节严重,2019-01-23,5000.0
（2018）苏12民终2588号,房屋租赁合同纠纷,危害税收征管罪,税,,,住所地江苏省,526255.0,严重,2019-01-14,
（2018）川03刑终269号,职务侵占,贪污贿赂罪,挪用资金|职务侵占,,高中,四川省,593731.0,,2019-01-18,
（2018）湘0621民初1367号,确认合同效力纠纷,妨害对公司企业的管理秩序罪|危害税收征管罪,欺诈|税,,,住所地岳阳县,200.0,严重,2019-01-22,
（2018）湘0502民初960号,商品房预售合同纠纷,危害税收征管罪,税,,,湖南省,320000.0,,2019-01-11,
（2019）桂0802刑初35号,走私、贩卖、运输、制造毒品,走私罪,走私,,初中,广西壮族自治区贵港市港北区,300.0,,2019-01-21,3000.0
（2019）陕0103执1377号,银行卡纠纷,妨害对公司企业的管理秩序罪|侵犯知识产权罪,债券|知识产权|股票,,,西安市碑林区,,,2019-01-31,
（2018）京73行初12019号,行政裁决,侵犯知识产权罪,知识产权,,,住所地北京市,,,2019-01-24,
（2018）冀0828民初4160号,合同纠纷,危害税收征管罪,税,,,住所地河北省,1400000.0,,2019-01-12,
（2019）黔02刑终29号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,贵州省,,,2019-01-30,1000.0
（2019）粤17刑更67号,强奸；敲诈勒索,侵犯财产罪,敲诈勒索,,小学,阳江市,,严重,2019-01-25,
（2018）吉0103刑初597号,诈骗,金融诈骗罪,诈骗,,中专,长春市宽城区,210000.0,数额巨大,2019-01-07,200000.0
（2019）川01刑更198号,抢劫,金融诈骗罪,诈骗,,初中,四川省,50580.0,,2019-01-24,4000.0
（2018）沪0115民初74862号,侵害商标权纠纷,侵犯知识产权罪,知识产权,,,住所地四川省,147510.0,,2019-01-08,
（2018）内0802民初6018号,居间合同纠纷,危害税收征管罪,税,,,巴彦淖尔市临河区,460000.0,,2019-01-04,
（2019）云03刑更301号,走私、贩卖、运输、制造毒品,走私罪,走私,,小学,云南省,,,2019-01-22,
（2018）苏06行终749号,行政撤销,妨害对公司企业的管理秩序罪,欺诈,,,住所地南通市,249880.0,,2019-01-28,
